
[00:00:00.000 --> 00:00:03.600]  菩薩師父,讓我們聽神的道義,先讓我們同心禱告。
[00:00:03.600 --> 00:00:09.280]  敬請慈悲,讓我們聽到這些先同心禱告。
[00:00:09.280 --> 00:00:16.200]  菩薩天父,多謝祢給我們能夠有生命再次來到教會的聚會裡面,
[00:00:16.200 --> 00:00:23.680]  一同去聆聽主祢的說話,一同去學習,並且學習怎樣實踐。
[00:00:23.680 --> 00:00:27.960]  求主祢讓我們同在,讓我們在這個學習的過程當中,
[00:00:27.960 --> 00:00:31.840]  有贖領的生命去承載。
[00:00:31.840 --> 00:00:35.680]  保佑我們能夠將主祢的道,不單只是聽信,
[00:00:35.680 --> 00:00:41.200]  並且能夠成為我們生命的一部分,活在我們生活當中。
[00:00:41.200 --> 00:00:45.920]  我們感謝主祢給我們再次有生命,能夠再次來到祢的跟前,
[00:00:45.920 --> 00:00:51.160]  在這個團聚的裡面,我們一同來到聆聽,學習祢的道理。
[00:00:51.160 --> 00:00:56.560]  求祢的幫助,讓我們能夠有承載真道的生命,
[00:00:56.560 --> 00:01:03.320]  來到把主祢的道理,不單聽信去,也能夠成為我們生命的一部分,
[00:01:03.320 --> 00:01:08.120]  並且在生活的裡面,活出真理出來。
[00:01:08.120 --> 00:01:13.600]  我們再次先聲感謝,我們禱告,供主耶穌的名聲,Amen。
[00:01:13.600 --> 00:01:18.240]  今天和大家分享的經文是提摩太前書六章二至十節。
[00:01:18.240 --> 00:01:23.000]  今天和大家分享的經文是提摩太前書六章二至十節。
[00:01:23.000 --> 00:01:27.000]  題目是《慎防假敬虔的煙幕》。
[00:01:27.000 --> 00:01:30.840]  這題目是《慎防假敬虔的煙幕》。
[00:01:30.840 --> 00:01:35.320]  當我去預備這堂訊息的時候,
[00:01:35.320 --> 00:01:40.120]  就無獨有偶地收到一篇文章。
[00:01:40.120 --> 00:01:45.240]  這篇文章是由一位很著名的牧師寫的文章。
[00:01:45.240 --> 00:01:48.720]  這是一位很著名的牧師所寫的文章。
[00:01:48.720 --> 00:01:54.600]  這篇文章談論到成功神學這個課題。
[00:01:54.600 --> 00:01:59.200]  這篇文章談到成功神學這個課題,
[00:01:59.200 --> 00:02:01.640]  而在這篇文章裡面的分享,
[00:02:01.640 --> 00:02:07.800]  我覺得是很值得,也很適合今天成為我們講這段經文的反面教材。
[00:02:07.800 --> 00:02:13.160]  我覺得這篇文章很適合今天講到的反面教材,
[00:02:13.160 --> 00:02:15.160]  所以我就希望和大家分享一下。
[00:02:15.160 --> 00:02:18.160]  我就和大家分享一下,這篇文章很長,
[00:02:18.160 --> 00:02:24.560]  這篇文章很長,大概有1000字左右,中文大約有1000字左右。
[00:02:24.560 --> 00:02:32.360]  因為這樣的緣故,我就將它第一段的主題讀給大家聽聽。
[00:02:32.360 --> 00:02:36.760]  我只將這篇文章第一段主題讀給大家聽。
[00:02:36.760 --> 00:02:39.840]  如果你想得到全篇文章,你可以直接找我。
[00:02:39.840 --> 00:02:42.800]  如果你想得到全篇文章之後,你可以找我。
[00:02:42.800 --> 00:02:44.600]  這篇文章是這麼講的。
[00:02:44.600 --> 00:02:45.960]  這篇文章是這麼講的。
[00:02:45.960 --> 00:03:03.800]  成功神學是認為經濟富裕和身體健康,是神應許給每一個信徒的祝福。
[00:03:03.800 --> 00:03:27.560]  因此,相信成功神學的信徒認為,富裕和健康是他們信主後應有的特權,是他們與神立約所得的應許。
[00:03:27.560 --> 00:03:48.560]  雖然成功神學有其聖經基礎,並非全是謬論一說,並且能夠鼓勵人積極努力向上,排除人生困難。
[00:03:48.560 --> 00:04:12.440]  但總括而言,成功神學是一個錯誤的神學觀,因為它扭曲了聖經的教導,把信仰當作人與神的交易,漠視福音的真義。
[00:04:12.440 --> 00:04:19.440]  也漠視耶穌十字架的救恩和神的國度。
[00:04:19.440 --> 00:04:40.640]  這篇文章在開頭時,想說的是,一方面成功神學是很好的,是信主後得到的特權。
[00:04:40.640 --> 00:05:06.440]  你得到財富,得到健康,是應該的,但他轉頭又說,成功神學並非全是謬論一說,並且能夠鼓勵人積極向上,排除人生困難。
[00:05:06.440 --> 00:05:11.840]  但最後他又說,他漠視福音的真義,這可以說是他提到漠視福音的真義。
[00:05:11.840 --> 00:05:28.840]  但是看這個前提,這個立論,這個理論,你有什麼樣的評語呢?看文章最重要就是看作者的動機想說什麼。
[00:05:28.840 --> 00:05:39.840]  就說看文章最重要就是看作者的動機想說什麼,然後在那個動機之下,看他怎麼去講。
[00:05:39.840 --> 00:05:42.840]  那你問我這個目者,我看完整篇之後呢?
[00:05:42.840 --> 00:05:46.240]  你問我這個目者寫了這個文章之後呢?
[00:05:46.240 --> 00:05:57.840]  我的評語是,因為目者是嘗試混淆視聽,這個作者嘗試混淆視聽。
[00:05:57.840 --> 00:06:00.840]  也都只能用三個字講完的了。
[00:06:00.840 --> 00:06:01.840]  你三個字可以說完?
[00:06:01.840 --> 00:06:03.840]  他全說了。
[00:06:03.840 --> 00:06:05.840]  反而是他說了,對。
[00:06:05.840 --> 00:06:06.840]  他全說了。
[00:06:06.840 --> 00:06:07.840]  他全部都講了。
[00:06:07.840 --> 00:06:09.840]  他全說的意思是什麼呢?
[00:06:09.840 --> 00:06:10.840]  他講了什麼呢?
[00:06:10.840 --> 00:06:11.840]  講了之後呢?
[00:06:11.840 --> 00:06:12.840]  講了之後呢?
[00:06:12.840 --> 00:06:13.840]  其實是自相矛盾的內容。
[00:06:13.840 --> 00:06:15.840]  他所講的內容自相矛盾。
[00:06:15.840 --> 00:06:20.840]  一方面又說成功神學並非謬論,但另一方面他又說成功神學並非謬論,但另一方面他又說成功神學並非謬論,但另一方面他又說成功神學並非謬論,
[00:06:20.840 --> 00:06:48.840]  一方面他又說成功神學是錯誤的,那究竟是錯還是對呢?你看這篇文章,你就會發覺,其實他的目的只有一樣東西,是告訴他自己教會的人,你們信得很好,你們認為信了耶穌之後有健康有財富,沒有錯的。
[00:06:48.840 --> 00:06:51.840]  不過呢,又是有些錯的。
[00:06:51.840 --> 00:06:52.840]  不過這裡面還是有一些錯。
[00:06:52.840 --> 00:06:55.840]  其實他整篇文章之後剩下來的內容呢?
[00:06:55.840 --> 00:06:57.840]  就是這個文章下的內容呢?
[00:06:57.840 --> 00:07:00.840]  就是說別人為什麼說他們錯。
[00:07:00.840 --> 00:07:02.840]  就是說別人怎麼說我們錯。
[00:07:02.840 --> 00:07:04.840]  然後否定那些人的評論。
[00:07:04.840 --> 00:07:06.840]  否定這些人的評論。
[00:07:06.840 --> 00:07:07.840]  最終的目的是什麼呢?
[00:07:07.840 --> 00:07:09.840]  最終的目的是什麼呢?
[00:07:09.840 --> 00:07:14.840]  就是為了每一個禮拜奉獻錢給他們教會的人。
[00:07:14.840 --> 00:07:18.840]  就是要那些每個星期奉獻錢給他們教會的人。
[00:07:18.840 --> 00:07:19.840]  就是會友啦。
[00:07:19.840 --> 00:07:20.840]  那就是會友。
[00:07:20.840 --> 00:07:21.840]  會眾啦。
[00:07:21.840 --> 00:07:22.840]  會眾。
[00:07:22.840 --> 00:07:23.840]  他們高興。
[00:07:23.840 --> 00:07:24.840]  他們高興。
[00:07:24.840 --> 00:07:25.840]  適合他們的想法。
[00:07:25.840 --> 00:07:27.840]  符合他們的想法。
[00:07:27.840 --> 00:07:28.840]  大部分人要回教會。
[00:07:28.840 --> 00:07:31.840]  為什麼要回教會?
[00:07:31.840 --> 00:07:32.840]  為什麼要去教會?
[00:07:32.840 --> 00:07:33.840]  因為信了耶穌之後。
[00:07:33.840 --> 00:07:34.840]  因為信了耶穌之後。
[00:07:34.840 --> 00:07:35.840]  可以解決你的問題嘛。
[00:07:35.840 --> 00:07:36.840]  可以解決你的問題嘛。
[00:07:36.840 --> 00:07:37.840]  信了耶穌之後。
[00:07:37.840 --> 00:07:38.840]  信了耶穌之後。
[00:07:38.840 --> 00:07:40.840]  你有健康的問題,有財富的問題。
[00:07:40.840 --> 00:07:42.840]  你有健康的問題,有財富的問題。
[00:07:42.840 --> 00:07:43.840]  有些祈求神就給你解決了。
[00:07:43.840 --> 00:07:44.840]  有些祈求神就給你解決了。
[00:07:44.840 --> 00:07:46.840]  有些祈求神就給你解決了。
[00:07:46.840 --> 00:07:48.840]  這是普遍的基督教今天的信仰。
[00:07:48.840 --> 00:07:49.840]  這是普遍的基督教今天的信仰。
[00:07:49.840 --> 00:07:50.840]  這是普遍的基督教今天的信仰。
[00:07:50.840 --> 00:07:51.840]  這是普遍的基督教今天的信仰。
