
[00:00:00.000 --> 00:00:03.000]  今日我的講道題目是分真電假
[00:00:03.000 --> 00:00:05.000]  在這裏也有幾幅圖片
[00:00:05.000 --> 00:00:08.000]  想大家來分辨一下真假的
[00:00:08.000 --> 00:00:13.000]  這裏有很多小狗
[00:00:13.000 --> 00:00:15.000]  其中有一隻是真的
[00:00:15.000 --> 00:00:16.000]  其他那些是無公仔
[00:00:16.000 --> 00:00:18.000]  阮哲你看不看到
[00:00:18.000 --> 00:00:19.000]  哪一隻是真的
[00:00:19.000 --> 00:00:22.000]  哪一隻是真的小狗
[00:00:22.000 --> 00:00:24.000]  大家看不看到
[00:00:24.000 --> 00:00:26.000]  看得到哪一隻是真的
[00:00:26.000 --> 00:00:28.000]  中間這隻
[00:00:28.000 --> 00:00:30.000]  這隻是真的小狗
[00:00:30.000 --> 00:00:32.000]  其他那些是無公仔
[00:00:32.000 --> 00:00:33.000]  好像很趣緻
[00:00:33.000 --> 00:00:37.000]  這個大家認不認得是誰
[00:00:37.000 --> 00:00:38.000]  這個是誰
[00:00:38.000 --> 00:00:40.000]  劉德華
[00:00:40.000 --> 00:00:41.000]  有一個是真的
[00:00:41.000 --> 00:00:43.000]  有一個是他替身
[00:00:43.000 --> 00:00:44.000]  哪個是真的
[00:00:44.000 --> 00:00:46.000]  這個是真的
[00:00:46.000 --> 00:00:48.000]  這個是真的
[00:00:48.000 --> 00:00:50.000]  他替身也很像
[00:00:50.000 --> 00:00:54.000]  這個大家認不認得是誰
[00:00:56.000 --> 00:00:58.000]  這個很假吧
[00:00:58.000 --> 00:01:00.000]  有少許像
[00:01:00.000 --> 00:01:02.000]  但不是十足
[00:01:02.000 --> 00:01:05.000]  特別在這位
[00:01:05.000 --> 00:01:07.000]  原來是一位女士
[00:01:07.000 --> 00:01:12.000]  她是現年58歲的四川婦人陳燕
[00:01:12.000 --> 00:01:15.000]  她因為扮毛澤東
[00:01:15.000 --> 00:01:17.000]  扮得出名了
[00:01:17.000 --> 00:01:20.000]  她曾經接受過內地媒體的訪問
[00:01:20.000 --> 00:01:22.000]  在訪問之中
[00:01:22.000 --> 00:01:25.000]  她也透露了成名背後的一些辛酸
[00:01:26.000 --> 00:01:30.000]  說到原來她差點要和丈夫離婚
[00:01:30.000 --> 00:01:31.000]  為甚麼呢
[00:01:31.000 --> 00:01:34.000]  就是因為她丈夫每次和她同房的時候
[00:01:34.000 --> 00:01:36.000]  都覺得她是毛澤東
[00:01:36.000 --> 00:01:40.000]  整整一刻都不想和她同房
[00:01:40.000 --> 00:01:42.000]  關係疏遠了
[00:01:42.000 --> 00:01:46.000]  又加上因為她要扮演毛澤東的緣故
[00:01:46.000 --> 00:01:49.000]  就被迫要男性化
[00:01:49.000 --> 00:01:51.000]  說話又粗聲粗氣
[00:01:51.000 --> 00:01:53.000]  又要吸煙
[00:01:53.000 --> 00:01:55.000]  都被她的丈夫嫌棄
[00:01:55.000 --> 00:01:59.000]  幸好最後沒有離婚
[00:01:59.000 --> 00:02:01.000]  只是差一點
[00:02:01.000 --> 00:02:04.000]  我們每個人的相貌都不同
[00:02:04.000 --> 00:02:06.000]  但相似起來
[00:02:06.000 --> 00:02:09.000]  有時真真假假都不容易分辨
[00:02:09.000 --> 00:02:13.000]  這其實和我們在信仰上
[00:02:13.000 --> 00:02:16.000]  所遭遇的有相似的地方
[00:02:16.000 --> 00:02:21.000]  司徒保羅之所以寫《哥羅西書》
[00:02:21.000 --> 00:02:23.000]  其中一個很重要的原因
[00:02:23.000 --> 00:02:25.000]  就是當時哥羅西教會
[00:02:25.000 --> 00:02:29.000]  正面對一些異端思想的衝擊
[00:02:29.000 --> 00:02:32.000]  這些傳講異端道理的人
[00:02:32.000 --> 00:02:35.000]  他們的講論
[00:02:35.000 --> 00:02:39.000]  有很濃厚的猶太教色彩
[00:02:39.000 --> 00:02:43.000]  同時也夾雜了一些外邦宗教的色彩
[00:02:43.000 --> 00:02:45.000]  成為一個大混合
[00:02:45.000 --> 00:02:47.000]  令人很難去分辨
[00:02:47.000 --> 00:02:51.000]  為了防止這種異端道理
[00:02:51.000 --> 00:02:53.000]  混亂真道 迷惑人心
[00:02:53.000 --> 00:02:57.000]  所以保羅寫了《哥羅西書》
[00:02:57.000 --> 00:02:59.000]  以正視聽
[00:02:59.000 --> 00:03:02.000]  昔日哥羅西教會所面對的異端
[00:03:02.000 --> 00:03:05.000]  其實我們今天都很難去稽考
[00:03:05.000 --> 00:03:07.000]  不過從這本書裡
[00:03:07.000 --> 00:03:10.000]  我們可以找到一些端倪
[00:03:10.000 --> 00:03:13.000]  知道這些異端 一些特點
[00:03:13.000 --> 00:03:16.000]  而這些特點和我們今天
[00:03:16.000 --> 00:03:19.000]  在信仰上所面對的衝擊
[00:03:19.000 --> 00:03:22.000]  其實也有相似的地方
[00:03:22.000 --> 00:03:24.000]  第一個相似的地方
[00:03:24.000 --> 00:03:26.000]  第一個特點就是
[00:03:26.000 --> 00:03:29.000]  這些異端都是出於人意
[00:03:29.000 --> 00:03:31.000]  不是來自神的
[00:03:31.000 --> 00:03:33.000]  保羅如何去形容
[00:03:33.000 --> 00:03:37.000]  哥羅西教會所面對的異端呢?
[00:03:37.000 --> 00:03:41.000]  他在第八節 剛才那段經文第八節
[00:03:41.000 --> 00:03:42.000]  他就有講到
[00:03:42.000 --> 00:03:45.000]  不過我發覺在這一節經文裡
