
[00:00:00.000 --> 00:00:03.640]  各位大英主媒《平安救約》向我們講說話
[00:00:03.640 --> 00:00:06.260]  你知不知道為甚麼我們會有日夜
[00:00:06.260 --> 00:00:08.200]  有一個星期七天
[00:00:08.200 --> 00:00:11.360]  有一年有春夏秋冬的季節
[00:00:11.360 --> 00:00:13.200]  原來是神創造的
[00:00:13.200 --> 00:00:16.000]  而且神創造是很有規律
[00:00:16.000 --> 00:00:17.460]  很有節奏的
[00:00:17.460 --> 00:00:18.900]  原來有時工作
[00:00:18.900 --> 00:00:21.100]  有時要停下來
[00:00:21.100 --> 00:00:23.800]  你知不知道安息日是怎樣來的
[00:00:23.800 --> 00:00:25.560]  節期是怎樣來的
[00:00:25.560 --> 00:00:27.900]  原來是神規定的
[00:00:27.900 --> 00:00:29.600]  在創造的時候
[00:00:29.600 --> 00:00:32.300]  神老早就已經規定了
[00:00:32.300 --> 00:00:34.700]  在《創世紀》第一章
[00:00:34.700 --> 00:00:37.800]  14到19節是這樣講的
[00:00:37.800 --> 00:00:42.000]  神說:天上要有光睇
[00:00:42.000 --> 00:00:44.000]  可以分晝夜
[00:00:44.000 --> 00:00:45.500]  作記號
[00:00:45.500 --> 00:00:50.100]  定節令日子連睡
[00:00:50.100 --> 00:00:53.100]  原來是神規定的
[00:00:53.100 --> 00:00:55.900]  並要發光起天空
[00:00:55.900 --> 00:00:57.500]  普照起地上
[00:00:57.500 --> 00:00:59.800]  事就這樣成了
[00:00:59.800 --> 00:01:02.300]  於是神造了兩個大光
[00:01:02.300 --> 00:01:03.700]  大的管晝
[00:01:03.700 --> 00:01:06.100]  小的管夜
[00:01:06.100 --> 00:01:07.900]  又造眾星
[00:01:07.900 --> 00:01:10.200]  祂就將這些光睇
[00:01:10.200 --> 00:01:12.600]  襯托起天空
[00:01:12.600 --> 00:01:14.500]  普照起地上
[00:01:14.500 --> 00:01:16.500]  管理晝夜
[00:01:16.500 --> 00:01:18.600]  分別明暗
[00:01:18.600 --> 00:01:21.300]  神看著是好的
[00:01:21.300 --> 00:01:22.600]  有晚上
[00:01:22.600 --> 00:01:23.700]  有早晨
[00:01:23.700 --> 00:01:25.600]  就是第四天
[00:01:25.600 --> 00:01:27.200]  原來神在第四天
[00:01:27.200 --> 00:01:29.100]  就造了這些光睇
[00:01:29.100 --> 00:01:32.900]  於是開始有日子時間等等
[00:01:32.900 --> 00:01:35.400]  而神設立不同的節期
[00:01:35.400 --> 00:01:36.800]  首先設立的
[00:01:36.800 --> 00:01:37.900]  竟然是
[00:01:37.900 --> 00:01:39.700]  「安息日」
[00:01:39.700 --> 00:01:40.700]  你有沒有想過
[00:01:40.700 --> 00:01:42.800]  現在有些店鋪
[00:01:42.800 --> 00:01:45.200]  什麼24小時營業
[00:01:45.200 --> 00:01:47.200]  從來沒有休息
[00:01:47.200 --> 00:01:48.700]  在香港
[00:01:48.700 --> 00:01:50.300]  你半夜12點
[00:01:50.300 --> 00:01:52.300]  你想到街上吃碗雲吞
[00:01:52.300 --> 00:01:54.600]  可能你都找到的
[00:01:54.600 --> 00:01:56.800]  為什麼這麼辛苦呢?
[00:01:56.800 --> 00:01:58.100]  沒有休息
[00:01:58.100 --> 00:02:01.600]  原來神要我們休息
[00:02:01.600 --> 00:02:04.400]  所以在《創世紀》第二章
[00:02:04.400 --> 00:02:05.900]  第一到第三節
[00:02:05.900 --> 00:02:07.300]  聖經怎麼說
[00:02:07.300 --> 00:02:09.900]  祂說天地萬物都造齊了
[00:02:09.900 --> 00:02:11.500]  到了第七天
[00:02:11.500 --> 00:02:14.200]  神造物的工
[00:02:14.200 --> 00:02:16.800]  已經完畢
[00:02:16.800 --> 00:02:18.600]  有一個「Full Stop」
[00:02:18.600 --> 00:02:19.900]  完結了
[00:02:19.900 --> 00:02:22.100]  於是就在第七天
[00:02:22.100 --> 00:02:24.700]  結了祂一切的工
[00:02:24.700 --> 00:02:26.500]  安息了
[00:02:26.500 --> 00:02:29.300]  神賜福給第七天
[00:02:29.300 --> 00:02:31.300]  定祂為聖日
[00:02:31.300 --> 00:02:33.800]  就這一天要分別出來
[00:02:33.800 --> 00:02:35.200]  因為這一天
[00:02:35.200 --> 00:02:39.500]  是結了祂一切創造的工
[00:02:39.500 --> 00:02:42.500]  祂就安息了
[00:02:42.500 --> 00:02:44.800]  如果你去過以色列
[00:02:44.800 --> 00:02:48.700]  以色列你住的酒店有電梯
[00:02:48.700 --> 00:02:50.600]  原來到了安息日
[00:02:50.600 --> 00:02:53.000]  電梯都不開
[00:02:53.000 --> 00:02:54.600]  有一種電梯叫做
[00:02:54.600 --> 00:02:56.400]  「安息日電梯」
[00:02:56.400 --> 00:02:57.800]  你不用按鍵
[00:02:57.800 --> 00:03:00.500]  它自然每層都停
[00:03:00.500 --> 00:03:02.200]  如果你住七樓
[00:03:02.200 --> 00:03:06.300]  一樓、二樓、三樓、四樓、五樓、六樓、七樓都停
[00:03:06.300 --> 00:03:08.200]  然後才去到七樓
[00:03:08.200 --> 00:03:09.300]  很特別
[00:03:09.300 --> 00:03:11.500]  因為原來安息日
[00:03:11.500 --> 00:03:16.400]  連按下電梯的按鈕都不能做
[00:03:16.400 --> 00:03:18.700]  我記得有一次在以色列
[00:03:18.700 --> 00:03:20.500]  我們去一個猶太人的家
[00:03:20.500 --> 00:03:25.200]  出席祂的安息日晚宴
[00:03:25.200 --> 00:03:28.600]  我們看到空調
[00:03:28.600 --> 00:03:30.500]  我們想調冷一點
[00:03:30.500 --> 00:03:32.200]  就跟主人家說
[00:03:32.200 --> 00:03:35.400]  可不可以調空調冷一點
[00:03:35.400 --> 00:03:37.300]  主人家說今天是安息日
[00:03:37.300 --> 00:03:38.600]  我們不能做
[00:03:38.600 --> 00:03:40.100]  你可不可以去調
[00:03:40.100 --> 00:03:41.700]  因為我們不是猶太人
[00:03:41.700 --> 00:03:43.500]  我們就可以去調
[00:03:43.500 --> 00:03:44.900]  原來安息日
[00:03:44.900 --> 00:03:48.200]  真的什麼工都不能做
[00:03:48.200 --> 00:03:51.000]  是完全的休息
[00:03:51.000 --> 00:03:53.600]  今天我們很需要從安息日裡面
[00:03:53.600 --> 00:03:54.800]  我們去領略
[00:03:54.800 --> 00:03:58.200]  什麼叫做工作時工作
[00:03:58.200 --> 00:03:59.800]  休息的時候
[00:03:59.800 --> 00:04:02.100]  我們就真的需要休息
[00:04:02.100 --> 00:04:03.900]  我不知道一個星期裡面
[00:04:03.900 --> 00:04:06.000]  你上班可能很辛苦
[00:04:06.000 --> 00:04:08.300]  你不要找這個機會
[00:04:08.300 --> 00:04:09.800]  到了安息日
[00:04:09.800 --> 00:04:11.300]  到了主日的時候
[00:04:11.300 --> 00:04:13.100]  你真的要休息
[00:04:13.100 --> 00:04:15.400]  我都記得當我做牧師的時候
[00:04:15.400 --> 00:04:18.500]  星期天是最忙的
[00:04:18.500 --> 00:04:21.400]  教會很多的活動
[00:04:21.400 --> 00:04:23.700]  所以教會就安排星期一
[00:04:23.700 --> 00:04:24.800]  是我們傳道
[00:04:24.800 --> 00:04:27.600]  也是我們同工休息的日子
[00:04:27.600 --> 00:04:29.800]  到了星期一的時候
[00:04:29.800 --> 00:04:32.800]  我是不是去親近神呢
[00:04:32.800 --> 00:04:35.000]  或者我約了一些人去街
[00:04:35.000 --> 00:04:37.000]  做各樣不同的事情
[00:04:37.000 --> 00:04:39.400]  所以來到神的面前
[00:04:39.400 --> 00:04:40.500]  安息
[00:04:40.500 --> 00:04:42.800]  知道祂是神
[00:04:42.800 --> 00:04:45.600]  是非常之重要的
[00:04:45.600 --> 00:04:47.800]  然後在十誡裡面
[00:04:47.800 --> 00:04:51.000]  神有規定我們要守安息日
[00:04:51.000 --> 00:04:55.000]  大家都知道十誡有兩個版本的
[00:04:55.000 --> 00:04:56.600]  一個版本就記載在
[00:04:56.600 --> 00:04:59.100]  《捷克記》第二十章裡面
[00:04:59.100 --> 00:05:01.800]  我先讀一讀這個版本
[00:05:01.800 --> 00:05:04.300]  祂說當紀念安息日
[00:05:04.300 --> 00:05:05.900]  守為聖日
[00:05:05.900 --> 00:05:07.400]  六日
[00:05:07.400 --> 00:05:10.100]  你要牢牢作你一切的功
[00:05:10.100 --> 00:05:11.300]  但是第七日
[00:05:11.300 --> 00:05:14.100]  是向耶和華里神
[00:05:14.100 --> 00:05:15.900]  當守的安息日
[00:05:15.900 --> 00:05:16.600]  這一日
[00:05:16.600 --> 00:05:18.600]  你和你的兒女
[00:05:18.600 --> 00:05:20.400]  伏皮生粥
[00:05:20.400 --> 00:05:23.900]  並你城裡面寄居的客人
[00:05:23.900 --> 00:05:27.700]  無論何工都不可助
[00:05:27.700 --> 00:05:29.400]  因為六日之內
[00:05:29.400 --> 00:05:32.100]  耶和華做天地海
[00:05:32.100 --> 00:05:34.000]  以及其中的萬物
[00:05:34.000 --> 00:05:35.200]  但是第七日
[00:05:35.200 --> 00:05:36.800]  祂就安息了
[00:05:36.800 --> 00:05:41.000]  所以耶和華賜福給安息日
[00:05:41.000 --> 00:05:43.400]  定為聖日
[00:05:43.400 --> 00:05:46.100]  是神特別祝福的一日
[00:05:46.100 --> 00:05:47.800]  定為聖日
