
[00:00:00.000 --> 00:00:05.360]  各位聽聽節目的各位朋友你們好
[00:00:05.360 --> 00:00:09.680]  歡迎大家參加我們三藩市報道會網上的五堂神拜
[00:00:09.680 --> 00:00:14.160]  今天我們繼續思想《亂世皆然》系列
[00:00:14.160 --> 00:00:16.000]  《士師記》研讀
[00:00:16.000 --> 00:00:21.440]  我們來到第十講 信仰與文化
[00:00:21.440 --> 00:00:26.240]  經文是記載在《士師記》第六章一節調五節
[00:00:26.240 --> 00:00:30.400]  還有二十八章二十八節調三十二節
[00:00:30.400 --> 00:00:32.960]  未開始思想這段聖經之前
[00:00:32.960 --> 00:00:35.440]  請我們同心一同禱告
[00:00:35.440 --> 00:00:38.880]  慈悲人我們天父我們滿心感謝你
[00:00:38.880 --> 00:00:42.400]  因為你愛我們
[00:00:42.400 --> 00:00:45.760]  願意捨身流血
[00:00:45.760 --> 00:00:48.320]  為我們釘生在十字架
[00:00:48.320 --> 00:00:50.240]  去改變我們
[00:00:50.240 --> 00:00:52.720]  不單改變我們的生命
[00:00:52.720 --> 00:01:02.320]  更改變我們的思想、風俗、價值觀、人生觀
[00:01:02.320 --> 00:01:05.520]  求聖靈在我們心中動功
[00:01:05.520 --> 00:01:08.080]  繼續你的話語去改變我們
[00:01:08.080 --> 00:01:09.200]  我們這樣祈禱
[00:01:09.200 --> 00:01:11.360]  那是奉耶穌基督的名號
[00:01:11.360 --> 00:01:14.640]  阿們
[00:01:14.640 --> 00:01:17.040]  信仰與文化
[00:01:17.040 --> 00:01:20.640]  未開始思想《士師記》這段聖經之前
[00:01:20.640 --> 00:01:24.480]  我想跟大家分享三個故事
[00:01:24.480 --> 00:01:26.800]  第一故事是虛構的
[00:01:26.800 --> 00:01:29.360]  假如你是一個宣教士
[00:01:29.360 --> 00:01:32.480]  來到一個民族去傳教
[00:01:32.480 --> 00:01:38.160]  這個民族有他自己的語言、文化、宗教和體制
[00:01:38.160 --> 00:01:40.080]  在這個民族當中
[00:01:40.080 --> 00:01:42.880]  他們崇尚蛇類的
[00:01:42.880 --> 00:01:45.440]  以為蛇是神的化身
[00:01:45.440 --> 00:01:47.360]  住在人的中間
[00:01:47.360 --> 00:01:51.840]  而他們以為羔羊是邪惡的象徵
[00:01:51.840 --> 00:01:54.400]  你在這樣的社會裏
[00:01:54.400 --> 00:01:58.640]  去宣傳福音、傳揚神的話語
[00:01:58.640 --> 00:02:01.120]  你會不會引用聖經說
