
[00:00:00.000 --> 00:00:01.960]  一連三堂的系列
[00:00:01.960 --> 00:00:05.400]  講到基督徒與政治這個比較敏感的話題
[00:00:05.400 --> 00:00:09.200]  在教會也是比較少提的一個話題
[00:00:09.200 --> 00:00:10.760]  今天來到最後一堂
[00:00:10.760 --> 00:00:12.480]  我也想跟大家
[00:00:12.480 --> 00:00:14.080]  等一下會看一節聖經
[00:00:14.080 --> 00:00:16.080]  也是一些提醒
[00:00:16.080 --> 00:00:18.160]  在未看這節聖經之前
[00:00:18.160 --> 00:00:20.160]  我反而想跟大家分享
[00:00:20.160 --> 00:00:22.160]  其中一個我覺得很重要的觀念
[00:00:22.160 --> 00:00:24.160]  我在星期五晚也有跟
[00:00:24.160 --> 00:00:26.000]  碧咀的學生分享過的
[00:00:26.000 --> 00:00:28.000]  這個觀念不是
[00:00:28.000 --> 00:00:31.000]  其實這個觀念不是影響到這次的總統大選
[00:00:31.000 --> 00:00:33.000]  反而是影響到
[00:00:33.000 --> 00:00:35.000]  大家知道因為加州無論如何都是
[00:00:35.000 --> 00:00:37.000]  民主黨的大本營
[00:00:37.000 --> 00:00:39.000]  所以你或者很多人都覺得
[00:00:39.000 --> 00:00:41.000]  我的選票不重要
[00:00:41.000 --> 00:00:43.000]  因為不會改變加州的
[00:00:43.000 --> 00:00:45.000]  大家都是支持哪一邊大家都知道
[00:00:45.000 --> 00:00:48.000]  但是在加州未來
[00:00:48.000 --> 00:00:51.000]  會不斷有一些本地州的法案出來
[00:00:51.000 --> 00:00:53.000]  那些州的立法的法案
[00:00:53.000 --> 00:00:56.000]  那些其實是直接影響到加州的居民
[00:00:56.000 --> 00:00:59.000]  那反而我作為一個基督徒
[00:00:59.000 --> 00:01:02.000]  你怎樣去看到這些立法的法案
[00:01:02.000 --> 00:01:05.000]  作為一個基督徒你從什麼角度去思考
[00:01:05.000 --> 00:01:07.000]  到底應不應該支持這條法案
[00:01:07.000 --> 00:01:10.000]  或者不支持這條法案呢
[00:01:10.000 --> 00:01:13.000]  這個我覺得對我們的直接影響就大過
[00:01:13.000 --> 00:01:16.000]  反而接下來這兩天的總統大選
[00:01:16.000 --> 00:01:18.000]  總統大選當然上個星期
[00:01:18.000 --> 00:01:20.000]  或者前個星期已經開始說過了
[00:01:20.000 --> 00:01:22.000]  所以這個星期我想跟大家分享其中一個觀念
[00:01:22.000 --> 00:01:25.000]  讓大家將來再面對一些不同的法案
[00:01:25.000 --> 00:01:28.000]  你用什麼角度去處理這些法案
[00:01:28.000 --> 00:01:32.000]  希望我們從聖經可以找到一些幫助
[00:01:32.000 --> 00:01:34.000]  或者一些啟示
[00:01:34.000 --> 00:01:38.000]  前提就是大概在幾年前
[00:01:38.000 --> 00:01:43.000]  大家知道當年同性戀法案還在
[00:01:43.000 --> 00:01:47.000]  我們還未完全輸的時候
[00:01:47.000 --> 00:01:50.000]  還在爭取八號提案的時候
[00:01:50.000 --> 00:01:55.000]  那段時間同性戀是一個很重要的議題
[00:01:55.000 --> 00:01:58.000]  所以很多教會大英姐妹私下都會來問我
[00:01:58.000 --> 00:02:00.000]  和我討論這個議題
[00:02:00.000 --> 00:02:04.000]  教會內教會外很多基督徒甚至非基督徒
[00:02:04.000 --> 00:02:06.000]  我也有機會和他們討論這個議題
[00:02:06.000 --> 00:02:09.000]  年輕人無論是碧洲學生、國語學生
[00:02:09.000 --> 00:02:14.000]  甚至是香港或者中國大陸的不同的基督徒也好
[00:02:14.000 --> 00:02:15.000]  非基督徒也好
[00:02:15.000 --> 00:02:17.000]  都會討論到這個題目
[00:02:17.000 --> 00:02:19.000]  所以因為很多人討論這個題目
[00:02:19.000 --> 00:02:22.000]  但我在這麼多年來從來
[00:02:22.000 --> 00:02:24.000]  因為我覺得這是一個很複雜的議題
[00:02:24.000 --> 00:02:26.000]  我從來沒有一個立場
[00:02:26.000 --> 00:02:28.000]  所以在那幾年的時間
[00:02:28.000 --> 00:02:31.000]  唯有逼自己去釐清自己的思緒
[00:02:31.000 --> 00:02:34.000]  因為作為牧師總有一天你會面對
[00:02:34.000 --> 00:02:35.000]  有人會問你
[00:02:35.000 --> 00:02:37.000]  你都需要表達你的看法
[00:02:37.000 --> 00:02:39.000]  雖然你未必需要表明你的立場
[00:02:39.000 --> 00:02:43.000]  但你需要有一個知道教導頂智慧從什麼方面去思想
[00:02:43.000 --> 00:02:46.000]  我就稍為參考了一些書
[00:02:46.000 --> 00:02:49.000]  例如其中一本參考當然是很經典的
[00:02:49.000 --> 00:02:50.000]  就是《教父時期》
