
[00:00:00.000 --> 00:00:00.880]  我們一起看圖稿
[00:00:00.880 --> 00:00:02.760]  超神大多謝祢
[00:00:02.760 --> 00:00:05.200]  祢給孩子有機會回來教會當中
[00:00:05.200 --> 00:00:06.680]  一起和童年姐妹一起崇拜
[00:00:06.680 --> 00:00:07.400]  一起見拜祢
[00:00:07.400 --> 00:00:08.720]  願祢來到當中
[00:00:08.720 --> 00:00:10.040]  在崇拜當中作主角
[00:00:10.040 --> 00:00:12.520]  祢親自的對眾人說話
[00:00:12.520 --> 00:00:14.400]  使用孩子成為流通的館子
[00:00:14.400 --> 00:00:16.600]  讓我在祢面前所領受的
[00:00:16.600 --> 00:00:18.000]  童年姐妹領受的同仁們來
[00:00:18.000 --> 00:00:21.120]  讓我們在我們的生命的路途當中
[00:00:21.120 --> 00:00:23.560]  都知道如何學會親近祢
[00:00:23.560 --> 00:00:24.200]  見拜祢
[00:00:24.200 --> 00:00:25.560]  去緊緊的跟從祢
[00:00:25.560 --> 00:00:26.640]  求主打領以下時間
[00:00:26.640 --> 00:00:27.520]  奉祈宋明祈禱
[00:00:28.960 --> 00:00:35.680]  我未來這一年會想和大家去看
[00:00:35.680 --> 00:00:36.960]  王者之路
[00:00:36.960 --> 00:00:40.440]  希望在這一年會用
[00:00:40.440 --> 00:00:44.880]  由大王的心平歷史當中
[00:00:44.880 --> 00:00:47.360]  從他們的心平當中反思
[00:00:47.360 --> 00:00:49.800]  我們如何能夠作主門徒
[00:00:49.800 --> 00:00:54.920]  我深信其實除了教會之外
[00:00:54.920 --> 00:00:58.080]  其實在學校或者在民間當中
[00:00:58.320 --> 00:01:01.480]  偶爾大家都會看到
[00:01:01.480 --> 00:01:03.800]  有些人也提到鎖路門的故事
[00:01:03.800 --> 00:01:07.400]  很經典的就是講智慧
[00:01:07.400 --> 00:01:10.600]  其實在《列王記》上
[00:01:10.600 --> 00:01:15.360]  一至十章不斷講鎖路門的事蹟
[00:01:15.360 --> 00:01:17.800]  包括他的功績
[00:01:17.800 --> 00:01:22.640]  如何去擴大他的國的版圖
[00:01:22.640 --> 00:01:24.520]  或者如何建立皇宮
[00:01:24.520 --> 00:01:25.720]  建立水池
[00:01:25.840 --> 00:01:30.160]  甚至更重要是建立聖殿
[00:01:30.160 --> 00:01:32.400]  所以在《列王記》上
[00:01:32.400 --> 00:01:35.960]  一至十章形容鎖路門
[00:01:35.960 --> 00:01:38.840]  是一個很偉大很厲害的皇帝
[00:01:38.840 --> 00:01:46.360]  不過更重要的是
[00:01:46.360 --> 00:01:49.280]  鎖路門王最出色的就是講他的智慧
[00:01:49.280 --> 00:01:51.680]  在第三章的時候
[00:01:51.680 --> 00:01:53.560]  鎖路門剛剛當皇帝
[00:01:53.840 --> 00:01:57.120]  在一個夢當中發了一個夢
[00:01:57.120 --> 00:01:58.520]  他跟上帝說
[00:01:58.520 --> 00:01:59.520]  我是年幼的
[00:01:59.520 --> 00:02:02.680]  其實我不太知道管理你的民
[00:02:02.680 --> 00:02:03.920]  我只求一件事
[00:02:03.920 --> 00:02:06.720]  你給我智慧來管理你的百姓
[00:02:06.720 --> 00:02:10.760]  上帝沒有因為他求長壽
[00:02:10.760 --> 00:02:12.640]  或者求財富
[00:02:12.640 --> 00:02:15.480]  或者求遷怨的敵人的祈求
[00:02:15.480 --> 00:02:18.240]  而反而求智慧和恩典
[00:02:18.240 --> 00:02:20.320]  所以上帝非常喜悅他
[00:02:20.320 --> 00:02:23.120]  來賜予他智慧和賜予他
[00:02:23.120 --> 00:02:27.320]  他沒有所祈求的財富權力和長壽
[00:02:27.320 --> 00:02:31.000]  同時間在這個故事當中
[00:02:31.000 --> 00:02:32.360]  這個小學也有
[00:02:32.360 --> 00:02:35.200]  有兩個婦人要爭一個兒子的時候
[00:02:35.200 --> 00:02:38.000]  有兩個婦人
[00:02:38.000 --> 00:02:41.240]  一個小孩可能被壓死了
[00:02:41.240 --> 00:02:42.360]  一個沒有死
[00:02:42.360 --> 00:02:44.280]  有一個婦人就說
[00:02:44.280 --> 00:02:45.800]  這個死的是你
[00:02:45.800 --> 00:02:47.160]  那個生的是我
[00:02:47.160 --> 00:02:49.040]  在爭拗當中的時候
[00:02:49.040 --> 00:02:52.040]  鎖路門凸顯他的智慧
[00:02:52.040 --> 00:02:55.320]  知道怎麼分辨是誰對誰錯
[00:02:55.320 --> 00:02:57.800]  知道誰是婦人的孩子
[00:02:57.800 --> 00:02:58.840]  是誰的婦人
[00:02:58.840 --> 00:03:00.320]  在這個過程當中
[00:03:00.320 --> 00:03:01.960]  訓練到真正的母親
[00:03:01.960 --> 00:03:04.280]  而到了第十章
[00:03:04.280 --> 00:03:08.880]  有一個士巴女王來訪問鎖路門王
[00:03:08.880 --> 00:03:10.800]  看到她很出名
[00:03:10.800 --> 00:03:12.560]  看到她的郭強城
[00:03:12.560 --> 00:03:14.360]  來探訪她
[00:03:14.360 --> 00:03:17.640]  或者見證她的智慧和她的財富
[00:03:17.640 --> 00:03:19.000]  還送了很多禮物
[00:03:19.000 --> 00:03:21.640]  所以一至十章你看的時候
[00:03:21.640 --> 00:03:24.560]  在鎖路門王的事跡是非常之精彩的
[00:03:24.560 --> 00:03:27.840]  不過到了第十一章
[00:03:27.840 --> 00:03:31.000]  是一個完全的逆轉
[00:03:31.000 --> 00:03:33.440]  一至十章是一個很偉大
[00:03:33.440 --> 00:03:34.760]  很出色的皇帝
[00:03:34.760 --> 00:03:36.560]  但是到了第十一章
[00:03:36.560 --> 00:03:38.160]  完全是一個逆轉
[00:03:38.160 --> 00:03:41.440]  是說鎖路門開始有些東西不同了
[00:03:41.440 --> 00:03:43.600]  在第一節到第二節說
[00:03:43.600 --> 00:03:47.280]  他說鎖路門在法老的女兒之外
[00:03:47.280 --> 00:03:49.560]  還寵愛了很多外邦女子
[00:03:49.560 --> 00:03:53.720]  有摩押王、阿門的女子
[00:03:53.720 --> 00:03:55.400]  以東的女子、西頓的女子
[00:03:55.400 --> 00:03:56.440]  很多的女子
[00:03:56.440 --> 00:03:59.800]  如果大家知道
[00:03:59.800 --> 00:04:02.360]  其實在古近東當中
[00:04:02.360 --> 00:04:05.080]  其實三妻四妾都是很平常的事情
[00:04:05.080 --> 00:04:08.760]  就算我想起我太爺也有兩個太太
[00:04:08.760 --> 00:04:11.320]  不過在港英政府的時候已經不比了
[00:04:11.320 --> 00:04:13.880]  或者在我們中國歷史當中
[00:04:13.880 --> 00:04:17.240]  我們都見到很多中國的文化
[00:04:17.240 --> 00:04:20.840]  那些皇帝都有娶外邦的公主
[00:04:20.840 --> 00:04:24.160]  都知道這些是政治的婚姻
[00:04:24.160 --> 00:04:25.680]  目的很簡單
[00:04:25.680 --> 00:04:28.120]  就是為了彼此之間有的關係
[00:04:28.120 --> 00:04:30.440]  你的國不要侵犯我的國
[00:04:30.440 --> 00:04:31.560]  不要侵犯你
[00:04:31.560 --> 00:04:34.680]  而建立很好的政治的穩定
[00:04:34.680 --> 00:04:37.480]  保存國家領土的安全
[00:04:37.480 --> 00:04:39.560]  彼此不侵襲
[00:04:39.560 --> 00:04:40.920]  建立一個婚姻的關係
[00:04:40.920 --> 00:04:42.520]  一個政治婚姻的關係
[00:04:42.520 --> 00:04:43.480]  不要侵略
[00:04:44.360 --> 00:04:47.240]  而同時讓國家能夠富強
[00:04:47.240 --> 00:04:49.880]  你知道沒有侵襲、沒有干預的時候
[00:04:49.880 --> 00:04:51.080]  讓國家富強
[00:04:51.080 --> 00:04:53.160]  重要的是經濟貿易
[00:04:53.160 --> 00:04:56.120]  帶來很多外邦文化的交流
[00:04:56.120 --> 00:04:59.320]  外邦女子能夠來到當中
[00:04:59.320 --> 00:05:00.600]  有很多的文化
[00:05:00.600 --> 00:05:03.800]  甚至帶來很多宗教上的偶像
[00:05:03.800 --> 00:05:07.560]  所以你看得到在這個過程當中
[00:05:07.560 --> 00:05:09.040]  在第一節
[00:05:09.040 --> 00:05:14.840]  你看得到索羅門完全在外邦女子當中
[00:05:14.840 --> 00:05:18.080]  已經有很多的交流在當中
[00:05:18.080 --> 00:05:21.360]  我們看回《新命記》
[00:05:21.360 --> 00:05:22.880]  《新命記》說了一件事
[00:05:22.880 --> 00:05:26.120]  它說你們不可和他們結親
[00:05:26.120 --> 00:05:28.120]  不可以和你的女兒
[00:05:28.120 --> 00:05:32.720]  不要將他們的女兒嫁給你的兒子
[00:05:32.720 --> 00:05:36.000]  因為不可以你的兒女娶他們
[00:05:36.000 --> 00:05:39.920]  因為你的兒子會偏離不跟從我去侍奉神
[00:05:39.920 --> 00:05:45.760]  其實《新命記》不是單單和皇帝說
[00:05:45.760 --> 00:05:47.600]  是和所有以色列人說
[00:05:47.600 --> 00:05:48.960]  包括索羅門王
[00:05:48.960 --> 00:05:52.880]  在《律法書》中很清楚地說了
[00:05:52.880 --> 00:05:55.600]  你們不要娶外邦女子
[00:05:55.600 --> 00:06:00.160]  或者將你們彼此有任何婚姻的關係
[00:06:00.160 --> 00:06:03.680]  因為你的兒子會偏離去跟從侍奉別神
[00:06:05.680 --> 00:06:07.520]  不單止以色列人要遵守
[00:06:07.520 --> 00:06:10.080]  甚至皇帝也要遵守
[00:06:10.080 --> 00:06:12.680]  很明顯索羅門王沒有聽到
[00:06:12.680 --> 00:06:16.240]  或者沒有記得將上帝的話語放在這裡
[00:06:16.240 --> 00:06:22.080]  反而在政治上、文化上和情緒上妥協
[00:06:22.080 --> 00:06:25.480]  為了政治或者國土的緣故要妥協
[00:06:25.480 --> 00:06:28.160]  要和外邦女子和別國當中
[00:06:28.160 --> 00:06:34.000]  尤其是那些外邦女子都是以色列的世仇
[00:06:34.000 --> 00:06:36.760]  讓我們妥協當中,讓國家能夠穩定
[00:06:36.760 --> 00:06:39.640]  甚至在文化當中有更多的妥協
[00:06:39.640 --> 00:06:41.200]  甚至自己的情慾
[00:06:41.200 --> 00:06:44.560]  試想想,你有一個老婆已經很好的了
[00:06:44.560 --> 00:06:46.640]  有多一個是非常不好的
