
[00:00:00.000 --> 00:00:04.800]  主:靈佑姐妹平安!感謝神我們能夠一起來相聚
[00:00:04.800 --> 00:00:08.400]  那麼請我們一起來低頭禱告
[00:00:08.400 --> 00:00:13.400]  天父上帝我們滿心感謝讚美祢
[00:00:13.400 --> 00:00:17.200]  祢真的是那位如此信實的主
[00:00:17.200 --> 00:00:20.000]  在我們的敬拜中主啊
[00:00:20.000 --> 00:00:23.000]  祢用祢自己的方式來激勵我們
[00:00:23.000 --> 00:00:25.400]  激勵我們更明白祢的愛
[00:00:25.400 --> 00:00:28.200]  也激勵我們要更愛祢
[00:00:28.600 --> 00:00:30.000]  所以我們感謝祢
[00:00:30.000 --> 00:00:32.000]  感謝祢如此的信實
[00:00:32.000 --> 00:00:35.000]  常常真的是為我們預備祢的話語
[00:00:35.000 --> 00:00:39.000]  我們求祢讓我們的心如同耶穌所教導的
[00:00:39.000 --> 00:00:40.800]  要成為一片好土
[00:00:40.800 --> 00:00:43.600]  以致祢的道剝下種子的時候
[00:00:43.600 --> 00:00:46.000]  我們才能夠虛心的領受
[00:00:46.000 --> 00:00:50.000]  能夠結出三十倍六十倍百倍的果子
[00:00:50.000 --> 00:00:51.000]  我們感謝祢
[00:00:51.000 --> 00:00:52.600]  求祢與我們同在
[00:00:52.600 --> 00:00:55.000]  禱告奉耶穌基督聖名的祈求
[00:00:55.000 --> 00:00:56.000]  Amen
[00:00:56.400 --> 00:00:57.400]  弟兄姊妹
[00:00:57.400 --> 00:01:00.400]  這次很想跟大家探討主的愛
[00:01:00.400 --> 00:01:03.400]  主特別的愛
[00:01:03.400 --> 00:01:05.000]  這次要探討的是
[00:01:05.000 --> 00:01:07.400]  能夠觸摸受傷的人的愛
[00:01:07.400 --> 00:01:11.400]  那麼我想跟大家看這段經文
[00:01:11.400 --> 00:01:15.400]  是關於我們每個讀聖經的人都很熟悉的
[00:01:15.400 --> 00:01:17.400]  一個主題就是麻瘋病
[00:01:17.400 --> 00:01:19.400]  你如果信主好幾年了
[00:01:19.400 --> 00:01:22.400]  你肯定對這個詞不會陌生
[00:01:22.400 --> 00:01:23.400]  肯定會聽過
[00:01:23.400 --> 00:01:27.400]  特別是當我們讀舊約利未姬的時候
[00:01:27.400 --> 00:01:29.400]  那裡講到一種疾病
[00:01:29.400 --> 00:01:30.400]  麻瘋病
[00:01:30.400 --> 00:01:32.400]  那麼他們是很可憐的
[00:01:32.400 --> 00:01:36.400]  他們真的是不能夠進入這個社群了
[00:01:36.400 --> 00:01:38.400]  完全的被outcast
[00:01:38.400 --> 00:01:39.400]  被隔離
[00:01:39.400 --> 00:01:42.400]  那麼我們想要跟大家探討
[00:01:42.400 --> 00:01:45.400]  聖經中麻瘋病的寓意
[00:01:45.400 --> 00:01:47.400]  然後我們再看一下
[00:01:47.400 --> 00:01:49.400]  馬可福音這卷書
[00:01:49.400 --> 00:01:52.400]  到底它的主旨是什麼
[00:01:52.400 --> 00:01:54.400]  然後我們才來看
[00:01:54.400 --> 00:01:55.400]  今天這段經文
[00:01:55.400 --> 00:01:59.400]  到底要讓我們知道的是一個怎樣的信息
[00:01:59.400 --> 00:02:00.400]  好嗎
[00:02:00.400 --> 00:02:02.400]  那麼我們看一下
[00:02:02.400 --> 00:02:05.400]  麻瘋病是一個怎樣的疾病呢
[00:02:05.400 --> 00:02:07.400]  如果你剛剛信主
[00:02:07.400 --> 00:02:08.400]  你還沒聽過
[00:02:08.400 --> 00:02:10.400]  我們就簡單的說一下
[00:02:10.400 --> 00:02:14.400]  基本上是在一世紀巴勒斯坦地區
[00:02:14.400 --> 00:02:16.400]  一種很慢性的
[00:02:16.400 --> 00:02:18.400]  但是是蔓延性的疾病
[00:02:18.400 --> 00:02:21.400]  那麼今天就把它叫麻瘋病
[00:02:21.400 --> 00:02:23.400]  但是有科學家他們就發現
[00:02:23.400 --> 00:02:25.400]  其實跟麻瘋病很像
[00:02:25.400 --> 00:02:29.400]  但未必是今天我們所認識的麻瘋病
[00:02:29.400 --> 00:02:31.400]  但是很像的地方在哪裡呢
[00:02:31.400 --> 00:02:33.400]  它就是很慢性的
[00:02:33.400 --> 00:02:35.400]  那麼會導致皮膚潰爛
[00:02:35.400 --> 00:02:37.400]  然後神經受損
[00:02:37.400 --> 00:02:39.400]  神經受損
[00:02:39.400 --> 00:02:41.400]  大家會知道發生什麼事情呢
[00:02:41.400 --> 00:02:43.400]  就是你不懂得保護它
[00:02:43.400 --> 00:02:45.400]  因為它在受傷的時候
[00:02:45.400 --> 00:02:47.400]  我們一般人會怎麼樣呢
[00:02:47.400 --> 00:02:48.400]  痛嘛
[00:02:48.400 --> 00:02:49.400]  痛你會縮
[00:02:49.400 --> 00:02:51.400]  你會保護自己
[00:02:51.400 --> 00:02:53.400]  就不會繼續的受傷
[00:02:53.400 --> 00:02:55.400]  但如果你的手一直在受傷
[00:02:55.400 --> 00:02:57.400]  你又不懂得縮
[00:02:57.400 --> 00:02:59.400]  那你繼續的在傷害自己
[00:02:59.400 --> 00:03:01.400]  它又神經受損
[00:03:01.400 --> 00:03:03.400]  又會潰爛
[00:03:03.400 --> 00:03:05.400]  然後會慢慢的導致
[00:03:05.400 --> 00:03:07.400]  肢體的不同的部分殘缺
[00:03:07.400 --> 00:03:09.400]  最終呢
[00:03:09.400 --> 00:03:11.400]  最終會致命
[00:03:11.400 --> 00:03:13.400]  那麼講到疾病呢
[00:03:13.400 --> 00:03:16.400]  我知道一些基督徒常常有這個困惑
[00:03:16.400 --> 00:03:19.400]  疾病到底是從哪裡而來
[00:03:19.400 --> 00:03:21.400]  疾病到底是
[00:03:21.400 --> 00:03:22.400]  怎麼會有疾病的
[00:03:22.400 --> 00:03:24.400]  怎麼會發生的呢
[00:03:24.400 --> 00:03:26.400]  那麼當我們
[00:03:26.400 --> 00:03:29.400]  回去看上帝造人的
[00:03:29.400 --> 00:03:32.400]  那個情況的時候
[00:03:32.400 --> 00:03:33.400]  我們就相信呢
[00:03:33.400 --> 00:03:35.400]  上帝造的是聖好
[00:03:35.400 --> 00:03:36.400]  完美
[00:03:36.400 --> 00:03:37.400]  對嗎
[00:03:37.400 --> 00:03:38.400]  那他當然會有軟弱
[00:03:38.400 --> 00:03:41.400]  但是上帝不只是給他
[00:03:41.400 --> 00:03:43.400]  一個非常好的身體
[00:03:43.400 --> 00:03:45.400]  也給他一個很好的心智
[00:03:45.400 --> 00:03:48.400]  但是他有一個自由權
[00:03:48.400 --> 00:03:50.400]  自由權是選擇
[00:03:50.400 --> 00:03:52.400]  要不要聽上帝的話
[00:03:52.400 --> 00:03:53.400]  他聽上帝的話
[00:03:53.400 --> 00:03:55.400]  他繼續的跟上帝
[00:03:55.400 --> 00:03:58.400]  維持著那種跟上帝連在一起的生命
[00:03:58.400 --> 00:03:59.400]  有上帝的什麼
[00:03:59.400 --> 00:04:01.400]  有上帝的美善
[00:04:01.400 --> 00:04:02.400]  也有上帝的什麼
[00:04:02.400 --> 00:04:05.400]  也有上帝的聰明智慧
[00:04:05.400 --> 00:04:06.400]  聰明智慧
[00:04:06.400 --> 00:04:08.400]  不是在講這是人世間的聰明智慧
[00:04:08.400 --> 00:04:10.400]  是上帝的聰明智慧
[00:04:10.400 --> 00:04:13.400]  那人的第一個責任是什麼呢
[00:04:13.400 --> 00:04:15.400]  上帝給他的一個責任
[00:04:15.400 --> 00:04:16.400]  管理這世界
[00:04:16.400 --> 00:04:17.400]  對嗎
[00:04:17.400 --> 00:04:21.400]  當人沒有了上帝的完美的智慧來管理
[00:04:21.400 --> 00:04:22.400]  他犯罪之後
[00:04:22.400 --> 00:04:25.400]  他就不能夠跟上帝有直接的關係
[00:04:25.400 --> 00:04:27.400]  冥冥中好像有一個上帝
[00:04:27.400 --> 00:04:31.400]  但是生命裡面好像跟這個上帝毫無關係
[00:04:31.400 --> 00:04:33.400]  上帝說這個人受咒詛
[00:04:33.400 --> 00:04:34.400]  因為他犯罪
[00:04:34.400 --> 00:04:38.400]  他以後在哪裡跟蹤都非常辛苦
[00:04:38.400 --> 00:04:40.400]  為什麼會非常辛苦呢
[00:04:40.400 --> 00:04:43.400]  因為他跟上帝的關係隔離了
[00:04:43.400 --> 00:04:46.400]  沒有上帝的完全的那種智慧
[00:04:46.400 --> 00:04:48.400]  來知道該怎麼做
[00:04:48.400 --> 00:04:50.400]  然後當然也來到今天
[00:04:50.400 --> 00:04:52.400]  今天我們最熟悉的是什麼呢
[00:04:52.400 --> 00:04:54.400]  各種的污染
[00:04:54.400 --> 00:04:55.400]  環境的污染
[00:04:55.400 --> 00:04:57.400]  你不懂得管這個大地的時候
[00:04:57.400 --> 00:05:00.400]  你就不懂得怎麼樣適當的
[00:05:00.400 --> 00:05:05.400]  均勻的使用這個世界的資源
[00:05:05.400 --> 00:05:06.400]  你會因著貪婪
[00:05:06.400 --> 00:05:08.400]  想賺多一點
[00:05:08.400 --> 00:05:09.400]  對嗎
[00:05:09.400 --> 00:05:11.400]  過量的去捕捉
[00:05:11.400 --> 00:05:12.400]  過量的去砍伐
[00:05:12.400 --> 00:05:13.400]  對嗎
[00:05:13.400 --> 00:05:15.400]  然後各種的空氣的污染
[00:05:15.400 --> 00:05:17.400]  水有太多的重金屬
[00:05:17.400 --> 00:05:18.400]  對嗎
[00:05:18.400 --> 00:05:20.400]  空氣有不同的二氧化碳
[00:05:20.400 --> 00:05:21.400]  太過量的
[00:05:21.400 --> 00:05:24.400]  使到農作物也受影響
[00:05:24.400 --> 00:05:28.400]  我們吃的喝的什麼都流傳下來
[00:05:28.400 --> 00:05:31.400]  影響到我們都不知道源頭在哪裡
[00:05:31.400 --> 00:05:32.400]  反正就是
[00:05:32.400 --> 00:05:35.400]  如果我們從屬靈的角度來看
[00:05:35.400 --> 00:05:38.400]  原本的世界應該是美好的
[00:05:38.400 --> 00:05:41.400]  但是人因犯罪
[00:05:41.400 --> 00:05:44.400]  失去了那種智慧
[00:05:44.400 --> 00:05:45.400]  愛心
[00:05:45.400 --> 00:05:48.400]  跟相信上帝的心來管理
[00:05:48.400 --> 00:05:51.400]  自自然然的就會因著貪婪
[00:05:51.400 --> 00:05:53.400]  怕自己虧損
[00:05:53.400 --> 00:05:54.400]  過量的
[00:05:54.400 --> 00:05:57.400]  或者是濫用上帝的資源
[00:05:57.400 --> 00:06:01.400]  導致最終各種疾病會發生
[00:06:01.400 --> 00:06:03.400]  最終傷害的是誰啊
[00:06:03.400 --> 00:06:05.400]  人類傷害的是人類
[00:06:05.400 --> 00:06:06.400]  對嗎
[00:06:06.400 --> 00:06:09.400]  好 那麼講到這裡
[00:06:09.400 --> 00:06:11.400]  我要進入
[00:06:11.400 --> 00:06:14.400]  麻風病在宗教層面的意思
[00:06:14.400 --> 00:06:17.400]  因為在聖經裡面講麻風病
[00:06:17.400 --> 00:06:21.400]  不是從科學的角度在講一個疾病
[00:06:21.400 --> 00:06:23.400]  你特別熟悉的是
[00:06:23.400 --> 00:06:25.400]  當他講到這個疾病的時候
[00:06:25.400 --> 00:06:30.400]  他把它放在怎麼樣的一個語境跟框架裡面
[00:06:30.400 --> 00:06:32.400]  宗教的語境
[00:06:32.400 --> 00:06:34.400]  他就說有麻風病的人
[00:06:34.400 --> 00:06:36.400]  就在宗教上
[00:06:36.400 --> 00:06:38.400]  律例上面就怎麼樣呢
[00:06:38.400 --> 00:06:40.400]  不潔淨
[00:06:40.400 --> 00:06:42.400]  對嗎 不潔淨
[00:06:42.400 --> 00:06:43.400]  所以這個是
[00:06:43.400 --> 00:06:45.400]  我們必須了解一下
[00:06:45.400 --> 00:06:47.400]  從宗教上
[00:06:47.400 --> 00:06:49.400]  到底在這個層面
[00:06:49.400 --> 00:06:51.400]  麻風病是一個什麼意思
[00:06:51.400 --> 00:06:54.400]  耶穌他去醫這個麻風病人
[00:06:54.400 --> 00:06:55.400]  你有了這個背景
[00:06:55.400 --> 00:06:59.400]  你更能夠體會這件事情的重要性
[00:06:59.400 --> 00:07:01.400]  那麼
[00:07:01.400 --> 00:07:03.400]  在聖經裡面
[00:07:03.400 --> 00:07:05.400]  我相信
[00:07:05.400 --> 00:07:08.400]  因為人類已經造成了這麼多疾病了
[00:07:08.400 --> 00:07:13.400]  上帝要懲罰管教人類犯罪得罪他的時候
[00:07:13.400 --> 00:07:16.400]  他可以揀選任何一種疾病
[00:07:16.400 --> 00:07:21.400]  來作為他懲罰他的子民的工具
[00:07:21.400 --> 00:07:22.400]  你們有意思嗎
[00:07:22.400 --> 00:07:26.400]  就是說人類已經造成了各種疾病都發生了
[00:07:26.400 --> 00:07:28.400]  那麼上帝可以選任何一個
[00:07:28.400 --> 00:07:31.400]  作為他要管教他們的工具
[00:07:31.400 --> 00:07:34.400]  所以在聖經裡面我們看見
[00:07:34.400 --> 00:07:36.400]  麻風病就是其中一個
[00:07:36.400 --> 00:07:40.400]  上帝選來可以管教他子民的
[00:07:40.400 --> 00:07:42.400]  為什麼上帝要選來要管教子民呢
[00:07:42.400 --> 00:07:44.400]  因為聖經告訴我們什麼呢
[00:07:44.400 --> 00:07:46.400]  聖經告訴我們
[00:07:46.400 --> 00:07:49.400]  上帝是愛我們的天父
[00:07:49.400 --> 00:07:51.400]  上帝是愛我們的天父
[00:07:51.400 --> 00:07:53.400]  沒有一個真正的父親
[00:07:53.400 --> 00:07:55.400]  愛孩子的父親
[00:07:55.400 --> 00:07:57.400]  不會不管教孩子的
[00:07:57.400 --> 00:07:58.400]  對嗎
[00:07:58.400 --> 00:08:01.400]  因為當我們走錯的時候
[00:08:01.400 --> 00:08:02.400]  我們行錯的時候
[00:08:02.400 --> 00:08:03.400]  我們做錯的時候
[00:08:03.400 --> 00:08:06.400]  如果那個父親還不管教自己的孩子
[00:08:06.400 --> 00:08:08.400]  基本上孩子會越走越錯
[00:08:08.400 --> 00:08:09.400]  對嗎
[00:08:09.400 --> 00:08:10.400]  會越走越錯
[00:08:10.400 --> 00:08:14.400]  所以上帝要管教他使用的其中一個方法
[00:08:14.400 --> 00:08:16.400]  在當時候救社會
[00:08:16.400 --> 00:08:18.400]  就是疾病
[00:08:18.400 --> 00:08:20.400]  其中一個就是最主要的
[00:08:20.400 --> 00:08:21.400]  我們最熟悉的
[00:08:21.400 --> 00:08:23.400]  講得特別多的
[00:08:23.400 --> 00:08:25.400]  在利未記第十三章第十四章
[00:08:25.400 --> 00:08:27.400]  麻風病
[00:08:27.400 --> 00:08:29.400]  比如說什麼呢
[00:08:29.400 --> 00:08:31.400]  都是很嚴重的疾病
[00:08:31.400 --> 00:08:34.400]  在舊約我們看到發生了幾次
[00:08:34.400 --> 00:08:35.400]  這個麻風病
[00:08:35.400 --> 00:08:36.400]  但是很嚴重的
[00:08:36.400 --> 00:08:38.400]  比如說米利安
[00:08:38.400 --> 00:08:40.400]  請問大家聖經之事
[00:08:40.400 --> 00:08:42.400]  米利安是誰啊
[00:08:42.400 --> 00:08:44.400]  米利安是誰
[00:08:44.400 --> 00:08:47.400]  對啦 摩西的姐姐
[00:08:47.400 --> 00:08:49.400]  那個摩西還在嬰孩的時候
[00:08:49.400 --> 00:08:51.400]  被放在蒲草箱
[00:08:51.400 --> 00:08:53.400]  在尼羅河
[00:08:53.400 --> 00:08:55.400]  河流這樣送過去
[00:08:55.400 --> 00:08:57.400]  來保住她的性命的時候
[00:08:57.400 --> 00:08:59.400]  有一個小女孩一直跟著她
[00:08:59.400 --> 00:09:01.400]  看看她能夠流到哪裡
[00:09:01.400 --> 00:09:05.400]  最後發現是流到了法老的女兒那裡
[00:09:05.400 --> 00:09:07.400]  跑回去跟她的媽媽說
[00:09:07.400 --> 00:09:10.400]  然後也自己獻祭給法老的女兒說
[00:09:10.400 --> 00:09:12.400]  不如就為她請個奶媽
[00:09:12.400 --> 00:09:14.400]  希伯來人比較熟悉
[00:09:14.400 --> 00:09:16.400]  希伯來人就找他自己的母親
[00:09:16.400 --> 00:09:18.400]  給摩西餵奶
[00:09:18.400 --> 00:09:19.400]  這是米利安
[00:09:19.400 --> 00:09:22.400]  但是米利安來到一個
[00:09:22.400 --> 00:09:26.400]  之後她成了以色列人的領袖之一
[00:09:26.400 --> 00:09:29.400]  但是有一次她犯了一個很大很大的錯誤
[00:09:29.400 --> 00:09:30.400]  嚴重的錯誤
[00:09:30.400 --> 00:09:32.400]  她開始覺得
[00:09:32.400 --> 00:09:34.400]  這個摩西
[00:09:34.400 --> 00:09:38.400]  真的是上帝揀選的領袖嗎
[00:09:38.400 --> 00:09:40.400]  為什麼會做出各樣的決定
[00:09:40.400 --> 00:09:44.400]  好像不是很好
[00:09:44.400 --> 00:09:50.400]  她就挑戰上帝所揀選的領袖摩西
[00:09:50.400 --> 00:09:53.400]  她犯了一個非常非常嚴重的錯誤
[00:09:53.400 --> 00:09:58.400]  結果上帝就讓她患了麻風病來懲罰她
[00:09:58.400 --> 00:10:00.400]  當摩西為她們求情
[00:10:00.400 --> 00:10:04.400]  為她跟亞倫求情之後
[00:10:04.400 --> 00:10:05.400]  她們就被醫治了
[00:10:05.400 --> 00:10:10.400]  所以這個麻風病變成上帝在告訴以色列民
[00:10:10.400 --> 00:10:15.400]  什麼是對 什麼是不對的事情的一個工具
[00:10:15.400 --> 00:10:16.400]  對嗎 理解嗎
[00:10:16.400 --> 00:10:18.400]  那麼另外一個是誰呢
[00:10:18.400 --> 00:10:19.400]  烏西亞王
[00:10:19.400 --> 00:10:21.400]  烏西亞王又是誰呢
[00:10:21.400 --> 00:10:23.400]  以色列一個王
[00:10:23.400 --> 00:10:27.400]  他做了什麼事情然後患麻風病呢
[00:10:27.400 --> 00:10:28.400]  他怎麼樣呢
[00:10:28.400 --> 00:10:31.400]  驕傲 狂妄自大
[00:10:31.400 --> 00:10:34.400]  做王不應該做的事情
[00:10:34.400 --> 00:10:36.400]  祭司才能做的事情
[00:10:36.400 --> 00:10:40.400]  就是進去神聖的地方來燒香
[00:10:40.400 --> 00:10:42.400]  所以這個烏西亞王說
[00:10:42.400 --> 00:10:45.400]  我是天下最大了
[00:10:45.400 --> 00:10:47.400]  唯我獨尊了
[00:10:47.400 --> 00:10:52.400]  所以他因著他的地位使他高傲無比
[00:10:52.400 --> 00:10:55.400]  連上帝不准烏世祭司做的工作
[00:10:55.400 --> 00:10:57.400]  他都去做
[00:10:57.400 --> 00:10:58.400]  而得罪了上帝
[00:10:58.400 --> 00:10:59.400]  也患了麻風病
[00:10:59.400 --> 00:11:03.400]  所以我們看到通常在聖經裡面
[00:11:03.400 --> 00:11:05.400]  在舊約 特別是舊約很清楚
[00:11:05.400 --> 00:11:09.400]  那麼那裡的疾病都是用來管教
[00:11:09.400 --> 00:11:12.400]  而且是非常非常嚴重的一件事情
[00:11:12.400 --> 00:11:13.400]  那麼剛才講了
[00:11:13.400 --> 00:11:15.400]  在宗教律例裡面
[00:11:15.400 --> 00:11:17.400]  是屬於不潔淨的
[00:11:17.400 --> 00:11:19.400]  不潔淨什麼意思呢
[00:11:19.400 --> 00:11:24.400]  就是你不能夠再參與任何的宗教的獻祭
[00:11:24.400 --> 00:11:26.400]  你還必須怎麼樣呢
[00:11:26.400 --> 00:11:29.400]  你必須離開整個群體
[00:11:29.400 --> 00:11:32.400]  比如說我如果被懲罰了
[00:11:32.400 --> 00:11:35.400]  我不能夠再回到你們當中
[00:11:35.400 --> 00:11:38.400]  離開整個群體 信仰群體
[00:11:38.400 --> 00:11:41.400]  深入一點來看這個病的特徵
[00:11:41.400 --> 00:11:45.400]  就是聖經裡面要給我們的屬靈寓意
[00:11:45.400 --> 00:11:47.400]  你看他的這個病
[00:11:47.400 --> 00:11:50.400]  他會在皮膚上有一些的現象的
[00:11:50.400 --> 00:11:53.400]  然後這裡原來每一樣的細節
[00:11:53.400 --> 00:11:55.400]  都有一些的屬靈含義
[00:11:55.400 --> 00:11:59.400]  比如說如果他的斑
[00:11:59.400 --> 00:12:02.400]  如果是深於皮膚下面
[00:12:02.400 --> 00:12:05.400]  其實他是要講人的罪
[00:12:05.400 --> 00:12:07.400]  如果這是代表人的罪的話
[00:12:07.400 --> 00:12:09.400]  是根植於內心了
[00:12:09.400 --> 00:12:11.400]  不是表面的行為
[00:12:11.400 --> 00:12:13.400]  不是不小心犯罪
[00:12:13.400 --> 00:12:16.400]  而是已經愛慕罪惡
[00:12:16.400 --> 00:12:19.400]  把罪惡放在自己心裡了
[00:12:19.400 --> 00:12:21.400]  以前我講到的時候有跟大家提過
[00:12:21.400 --> 00:12:25.400]  我們每次都說認罪悔改
[00:12:25.400 --> 00:12:29.400]  那麼很多還沒信耶穌的人就不明白
[00:12:29.400 --> 00:12:32.400]  你們基督徒整天都說認罪悔改
[00:12:32.400 --> 00:12:34.400]  然後難道就可以再犯錯嗎
[00:12:34.400 --> 00:12:36.400]  叫認罪悔改
