
[00:00:00.000 --> 00:00:04.600]  不知大家想起過去年輕時代
[00:00:04.600 --> 00:00:06.600]  青少時代是怎樣的呢
[00:00:06.600 --> 00:00:09.400]  今天是青少主日
[00:00:09.400 --> 00:00:11.720]  我在想,對,青少主日
[00:00:11.720 --> 00:00:15.800]  由青少來到成人崇拜中大敬拜
[00:00:15.800 --> 00:00:17.880]  但其實我眼見的大家
[00:00:17.880 --> 00:00:21.160]  很多都是我過去沒有見過的青少
[00:00:21.160 --> 00:00:22.840]  所以這件事很難不明白
[00:00:22.840 --> 00:00:25.000]  其實大家都是我的青少
[00:00:25.000 --> 00:00:26.160]  有這種感覺
[00:00:26.160 --> 00:00:28.800]  你們以前爭椅子,滾到地上
[00:00:28.880 --> 00:00:30.880]  畫面仍然在我腦海中
[00:00:30.880 --> 00:00:34.320]  所以其實我有一種很大的感覺
[00:00:34.320 --> 00:00:38.160]  就是一代一代在青少的路上
[00:00:38.160 --> 00:00:40.640]  經歷著…在信仰的路上
[00:00:40.640 --> 00:00:43.400]  繼續堅持,其實是一件很美好的事
[00:00:43.400 --> 00:00:45.440]  但同樣提醒我一樣東西
[00:00:45.440 --> 00:00:47.960]  就是你們都長大了
[00:00:47.960 --> 00:00:49.200]  不如你拍拍你旁邊的人
[00:00:49.200 --> 00:00:49.920]  跟他說一聲
[00:00:49.920 --> 00:00:52.120]  「你還不小,對吧」
[00:00:52.120 --> 00:00:56.080]  馬上人身攻擊
[00:00:59.720 --> 00:01:02.840]  對,不知道過去的你
[00:01:02.840 --> 00:01:05.440]  青少年時期的你是怎樣的呢
[00:01:05.440 --> 00:01:06.400]  有人說過
[00:01:06.400 --> 00:01:09.440]  青少年時期是一個暴風期
[00:01:09.440 --> 00:01:11.240]  很多事情很迷惘
[00:01:11.240 --> 00:01:14.120]  很多事情…你很想理解生命
[00:01:14.120 --> 00:01:16.200]  你很想理解自己究竟是怎樣
[00:01:16.200 --> 00:01:19.960]  或者你很想理解將來的路是怎樣走
[00:01:19.960 --> 00:01:21.520]  人際關係是怎樣處理
[00:01:21.520 --> 00:01:24.120]  其實很多事情都是一個迷惘的階段
[00:01:24.120 --> 00:01:27.840]  甚至現在很流行的潮語
[00:01:27.920 --> 00:01:32.920]  由高級小朋友升職成為初級大人
[00:01:32.920 --> 00:01:34.280]  你有聽過嗎
[00:01:34.280 --> 00:01:35.640]  成為一個初級大人
[00:01:35.640 --> 00:01:37.560]  你要學會理解怎樣成為大人
