
[00:00:00.000 --> 00:00:02.240]  各位弟兄姊妹,平安!
[00:00:02.240 --> 00:00:05.700]  我們開始的時候,我們一同來做個祈禱
[00:00:05.700 --> 00:00:11.500]  我們很感謝你,每個星期你都在供應我們的話語
[00:00:11.500 --> 00:00:15.700]  由你的靈繼續光照我們,來啟示我們
[00:00:15.700 --> 00:00:18.500]  以致我們能夠明白你更多
[00:00:18.500 --> 00:00:21.500]  禱告奉主耶穌基督,聖靈求!
[00:00:21.500 --> 00:00:22.500]  Amen!
[00:00:22.500 --> 00:00:27.800]  如果我剛才結束祈禱的時候
[00:00:28.100 --> 00:00:33.000]  我說了Amen和Amen的時候
[00:00:33.000 --> 00:00:35.000]  你可能都不會怪我
[00:00:35.000 --> 00:00:37.000]  因為我讀的書少
[00:00:37.000 --> 00:00:39.000]  但如果今年年初
[00:00:39.000 --> 00:00:42.000]  一個以基督教立國的國家
[00:00:42.000 --> 00:00:44.000]  一位資深的牧師
[00:00:44.000 --> 00:00:48.500]  和一位資深的國會議員
[00:00:48.500 --> 00:00:54.000]  在國會開幕的時候來祈禱
[00:00:54.000 --> 00:00:58.000]  他用了Amen和Amen的時候
[00:00:58.000 --> 00:01:00.000]  你就會覺得有點奇怪
[00:01:00.000 --> 00:01:01.000]  是不是?
[00:01:01.000 --> 00:01:03.000]  大家都知道
[00:01:03.000 --> 00:01:10.000]  Amen其實是一個語音的翻譯
[00:01:10.000 --> 00:01:16.000]  根本上是跟性別沒有關係的
[00:01:16.000 --> 00:01:18.000]  如果只是說
[00:01:18.000 --> 00:01:20.000]  只管政治正確
[00:01:20.000 --> 00:01:22.000]  或者男女平等
[00:01:22.000 --> 00:01:26.000]  然後將一些風馬牛不關的說話
[00:01:26.000 --> 00:01:30.000]  拉在一起來混淆視聽的時候
[00:01:30.000 --> 00:01:35.000]  結果這位議員就引來大量的批評
[00:01:35.000 --> 00:01:38.000]  有些人更加揶揄他
[00:01:38.000 --> 00:01:41.000]  說他根本上不懂希伯來文
[00:01:41.000 --> 00:01:42.000]  Hebrew
[00:01:42.000 --> 00:01:46.000]  他的字都是從Shubru那裡來的
[00:01:46.000 --> 00:01:50.000]  其實一點都不奇怪
[00:01:50.000 --> 00:01:52.000]  因為當年提摩泰
[00:01:52.000 --> 00:01:56.000]  他所服侍的那間以弗所教會
[00:01:56.000 --> 00:01:59.000]  當地也是歪理橫行
[00:01:59.000 --> 00:02:00.000]  二端四起
[00:02:00.000 --> 00:02:05.000]  正如在提摩泰後書第二章第十六節
[00:02:05.000 --> 00:02:09.000]  說到他們崇尚世俗的虛談
[00:02:09.000 --> 00:02:14.000]  更加說到復活的事已經過去了
[00:02:14.000 --> 00:02:20.000]  他們更加喜歡荒謬的言語
[00:02:20.000 --> 00:02:22.000]  在這種情況下
[00:02:22.000 --> 00:02:27.000]  保羅唯有祝福他屬靈的兒子提摩泰
[00:02:27.000 --> 00:02:32.000]  要他如何處理這些敵黨真理的問題
[00:02:32.000 --> 00:02:36.000]  剛才我們所讀的那一段經文
[00:02:36.000 --> 00:02:39.000]  其實是保羅在殉道之前
[00:02:39.000 --> 00:02:43.000]  對提摩泰的一些忠告
[00:02:43.000 --> 00:02:48.000]  也是對我們身為侍奉者的一些忠告
[00:02:48.000 --> 00:02:51.000]  我將這段經文分為三個部分
[00:02:51.000 --> 00:02:54.000]  跟大家一起來分享
[00:02:54.000 --> 00:02:58.000]  首先來看看第十至第十三節
[00:02:58.000 --> 00:03:03.000]  保羅首先要提摩泰來效法他
[00:03:03.000 --> 00:03:07.000]  他在這裡列出了幾種身為侍奉者
[00:03:07.000 --> 00:03:11.000]  應該有的生命素質
[00:03:11.000 --> 00:03:15.000]  他是如何能夠將這些生命素質實行出來的呢?
[00:03:15.000 --> 00:03:18.000]  首先是教訓
[00:03:18.000 --> 00:03:21.000]  他要以基督的道理
[00:03:21.000 --> 00:03:26.000]  福音的訊息來向人們教導
[00:03:26.000 --> 00:03:30.000]  第二點是有關於品行
[00:03:30.000 --> 00:03:33.000]  即是講到侍奉者的人生觀
[00:03:33.000 --> 00:03:37.000]  要與蒙召的因來相稱
[00:03:37.000 --> 00:03:40.000]  第三點當然是講到志向
[00:03:40.000 --> 00:03:41.000]  即是立志
[00:03:41.000 --> 00:03:44.000]  我們都知道保羅他一生的目標
[00:03:44.000 --> 00:03:46.000]  都是以傳福音
[00:03:46.000 --> 00:03:50.000]  傳十字架的訊息為他的記任
[00:03:50.000 --> 00:03:54.000]  在哥林多前書第二章第二節
[00:03:54.000 --> 00:03:55.000]  保羅更加講到
[00:03:55.000 --> 00:03:58.000]  因為我曾定了主義
[00:03:58.000 --> 00:04:00.000]  在你們中間不知到結的
[00:04:00.000 --> 00:04:05.000]  只知道耶穌基督並他釘死的十字架
[00:04:05.000 --> 00:04:10.000]  不用說保羅的信心
[00:04:10.000 --> 00:04:13.000]  他經常講的恩信清義
[00:04:13.000 --> 00:04:17.000]  他完全是依靠神
[00:04:17.000 --> 00:04:22.000]  接著他更加教導提摩太
[00:04:22.000 --> 00:04:25.000]  他更加對人有寬容
[00:04:25.000 --> 00:04:28.000]  有愛心和有忍耐
