
[00:00:00.000 --> 00:00:02.000]  我們今天的主題就是
[00:00:02.000 --> 00:00:04.600]  不要像愚昧人
[00:00:04.600 --> 00:00:06.600]  怎樣纔是愚昧?
[00:00:06.600 --> 00:00:08.600]  是不是說你蠢?
[00:00:08.600 --> 00:00:10.600]  當然說人蠢很沒禮貌
[00:00:10.600 --> 00:00:13.600]  但是愚昧這裏的意思當然是一種屬靈的意思
[00:00:13.600 --> 00:00:16.600]  就是說他不能夠分辨在屬靈上的對與錯
[00:00:16.600 --> 00:00:20.100]  黑與白,正確與異端
[00:00:20.100 --> 00:00:22.600]  所以我們今天都會在這方面透過經文
[00:00:22.600 --> 00:00:24.600]  給我們更加多的學習和認識
[00:00:24.600 --> 00:00:26.600]  我們都不想做愚昧人,是不是?
[00:00:26.600 --> 00:00:27.800]  誰想做愚昧人的?
[00:00:27.800 --> 00:00:29.200]  沒有啦,肯定沒有人舉手的
[00:00:29.200 --> 00:00:31.200]  我們都想做一個有智慧的人
[00:00:31.200 --> 00:00:33.200]  那剛纔那段經文我們從第六節開始
[00:00:33.200 --> 00:00:35.200]  讀到第21節,很長的一段經文
[00:00:35.200 --> 00:00:37.200]  不過今天我講到的內容
[00:00:37.200 --> 00:00:40.200]  最主要集中在後面第15節到第21節
[00:00:40.200 --> 00:00:43.200]  但是爲什麼要讀前面那一段呢?
[00:00:43.200 --> 00:00:45.200]  因爲經文是會有上文下理的
[00:00:45.200 --> 00:00:46.200]  互相是有關係的
[00:00:46.200 --> 00:00:48.200]  所以等一下當我講解的時候
[00:00:48.200 --> 00:00:49.200]  你就會明白了
[00:00:49.200 --> 00:00:51.200]  上面那段和下面有什麼關係呢?
[00:00:51.200 --> 00:00:52.200]  等一下就會知道
[00:00:52.200 --> 00:00:55.200]  但我們首先集中在後面那段經文
[00:00:55.200 --> 00:00:56.200]  我們有三大重點
[00:00:56.200 --> 00:00:57.200]  第一點就是
[00:00:57.200 --> 00:00:59.200]  今天主題就是不要像愚昧人
[00:00:59.200 --> 00:01:00.200]  當像是怎樣的呢?
[00:01:00.200 --> 00:01:04.200]  愚昧的相反就是有智慧,智慧人
[00:01:04.200 --> 00:01:06.200]  第二點就是不要做糊塗人
[00:01:06.200 --> 00:01:07.200]  要怎樣呢?
[00:01:07.200 --> 00:01:08.200]  如果不做糊塗人
[00:01:08.200 --> 00:01:09.200]  你的祕訣就是
[00:01:09.200 --> 00:01:12.200]  明白主的旨意是怎樣的
[00:01:12.200 --> 00:01:14.200]  主的旨意就記載在聖經裏面
[00:01:14.200 --> 00:01:16.200]  第三點就是不要醉酒
[00:01:16.200 --> 00:01:19.200]  但是相反來說要被聖靈充滿
